RobotX, RobotY, RobotAngle
370, 182, 180

			measurements
 rayX, rayY, raylength, RayAngle 
323.77830286113, 203.55353134877544, 204.00000000000276, 155
320.2927379135689, 203.09948093842104, 215.99999999999795, 157
314.91875483666513, 203.14370902317336, 236.0000000000008, 159
308.54129258604587, 203.16193003971532, 259.99999999999466, 161
301.14605757065965, 203.05076274003727, 288.0000000000071, 163
290.79408224429426, 203.22316169840605, 328.0000000000076, 165
278.4092139101854, 203.14539910832434, 376.00000000001074, 167
261.0393826373117, 203.1797984867978, 443.99999999999164, 169
236.66207401965778, 203.1186527804317, 539.9999999999949, 171
198.2895157660523, 203.08339640908878, 691.9999999999952, 173
127.92468836370331, 203.17884548768006, 972.0000000000098, 175
69.41251003887425, 197.7531228291298, 1200, 177
70.04569145307951, 187.23572193118582, 1200, 179
70.04569145307951, 176.76427806881418, 1200, 181
69.41251003887425, 166.2468771708702, 1200, 183
151.83336111790544, 162.91289233826365, 876.0000000000089, 185
215.16280034395498, 162.98838242879856, 623.9999999999943, 187
219.8713722295406, 158.22196131388432, 607.9999999999942, 189
271.83728165523576, 162.91910046234432, 399.9999999999925, 191
287.17854449325273, 162.87916038077054, 340.0000000000097, 193
298.521488854607, 162.84739066241406, 296.0000000000068, 195
307.8401908624011, 162.9958391930219, 260.0000000000064, 197
314.21440403964164, 162.79147888702764, 235.99999999999514, 199
319.58665696915114, 162.6481307245532, 216.0000000000007, 201
323.9747573273786, 162.46344357553608, 199.9999999999981, 203
323.77830286113, 160.44646865122456, 204.00000000000276, 205
321.8856476938288, 157.48451301406448, 215.99999999999767, 207
301.77966284312663, 144.18484962078674, 311.9999999999997, 209
301.426615943833, 140.79695400719584, 319.9999999999929, 211
301.2290134284749, 137.33959912876804, 328.0000000000005, 213
301.19122827972296, 133.81957934651325, 336.00000000000307, 215
301.317346135933, 130.24390800892314, 344.0000000000011, 217
301.61115539178445, 126.6198055876137, 352.00000000000813, 219
301.3214281997283, 122.2986283618634, 363.9999999999995, 221
301.98410574941585, 118.57415251418809, 372.00000000000256, 223
301.41064222490434, 113.41064222490434, 388.0000000000031, 225
301.80016399375063, 108.86462983808401, 399.99999999999557, 227
301.76986098498674, 103.51020365683235, 415.99999999999943, 229
301.40407737557, 97.29109020119066, 435.9999999999927, 231
301.99490238382083, 91.75418736465616, 451.9999999999937, 233
301.7444040742237, 84.52090672961015, 476.0000000000035, 235
301.92012062311846, 77.1661790068215, 500.0000000000086, 237
301.4999360369593, 67.99674900661856, 532.0000000000089, 239
301.64184354526833, 58.67862129334434, 563.9999999999994, 241
301.9014250390637, 48.34902137174535, 600.0000000000058, 243
301.95845985974813, 36.08444628709975, 643.9999999999973, 245
294.58889220156925, 4.342563283679555, 771.9999999999994, 247
301.9100895863909, 4.619718965531774, 760.0000000000025, 249
308.7931869620595, 4.242507787327762, 751.9999999999961, 251
350.1187240788556, 116.97127659451382, 271.9999999999971, 253
364.04716196264155, 159.78370599535148, 92.00000000000028, 255
365.05107680443473, 160.56385857472486, 88.00000000000007, 257
365.4205841109633, 158.4409475972559, 96.00000000000036, 259
366.40200730407525, 159.28316816631207, 91.99999999999872, 261
367.318874445087, 160.16398466389063, 88.00000000000102, 263
368.0825736595516, 160.08371664198137, 88.0000000000009, 265
368.79627300641266, 159.03152070064488, 91.99999999999963, 267
369.61604705838033, 160.0033507065591, 88.00000000000112, 269
370.38395294161967, 160.0033507065591, 88.00000000000112, 271
371.1513910373444, 160.03015023539945, 87.99999999999964, 273
372.00458208319606, 159.0875219438896, 92.00000000000092, 275
372.80299489831816, 159.1714385122493, 92.00000000000107, 277
373.44155823088454, 160.2708565069072, 87.99999999999878, 279
374.1977978982836, 160.40420196415124, 88.00000000000033, 281
375.17387424990915, 159.58948850993963, 92.00000000000009, 283
375.95283803735845, 159.78370599535148, 92.00000000000028, 285
376.43217750389965, 160.9612953688133, 87.99999999999905, 287
377.488067552514, 160.25307276121558, 91.99999999999973, 289
378.24246283954216, 160.52765019056437, 92.00000000000031, 291
379.3775470837427, 159.90788351714173, 95.99999999999909, 293
380.1428382817767, 160.24861311112068, 95.99999999999882, 295
380.89577199374844, 160.61584341947946, 95.99999999999773, 297
381.15062126566545, 161.88374673579375, 91.99999999999993, 299
382.875951872752, 160.5708174824471, 100.00000000000168, 301
383.07133684036125, 161.87190636930973, 96.00000000000163, 303
384.9129873451276, 160.70204684848642, 104.00000000000023, 305
